t,y,,,,,
2.216862E+01,-1.227859E+00,,,,,
2.220203E+01,-1.227816E+00,,,,,
2.218533E+01,-1.227808E+00,,,,,
2.215192E+01,-1.22758E+00,,,,,
2.221874E+01,-1.227558E+00,,,,,
2.213521E+01,-1.226808E+00,,,,,
2.223544E+01,-1.226422E+00,,,,,
2.211851E+01,-1.225638E+00,,,,,
2.225216E+01,-1.225244E+00,,,,,
2.21018E+01,-1.224305E+00,,,,,
2.226886E+01,-1.223799E+00,,,,,
2.20851E+01,-1.222524E+00,,,,,
2.228557E+01,-1.222069E+00,,,,,
2.206839E+01,-1.220686E+00,,,,,
2.230227E+01,-1.220166E+00,,,,,
2.205169E+01,-1.218701E+00,,,,,
2.231898E+01,-1.218203E+00,,,,,
2.203498E+01,-1.216842E+00,,,,,
2.233568E+01,-1.216214E+00,,,,,
2.201827E+01,-1.214977E+00,,,,,
2.235239E+01,-1.213917E+00,,,,,
2.200157E+01,-1.213087E+00,,,,,
2.23691E+01,-1.211971E+00,,,,,
2.198486E+01,-1.211291E+00,,,,,
2.23858E+01,-1.209994E+00,,,,,
2.196816E+01,-1.209376E+00,,,,,
2.240251E+01,-1.208016E+00,,,,,
2.195144E+01,-1.207508E+00,,,,,
2.241921E+01,-1.205961E+00,,,,,
2.193474E+01,-1.205631E+00,,,,,
2.191803E+01,-1.203879E+00,,,,,
2.243592E+01,-1.20368E+00,,,,,
2.190133E+01,-1.201916E+00,,,,,
2.245262E+01,-1.20156E+00,,,,,
2.188462E+01,-1.199864E+00,,,,,
2.246933E+01,-1.199412E+00,,,,,
2.186792E+01,-1.198022E+00,,,,,
2.248603E+01,-1.197488E+00,,,,,
2.185121E+01,-1.19612E+00,,,,,
2.250274E+01,-1.195155E+00,,,,,
2.183451E+01,-1.194472E+00,,,,,
2.251944E+01,-1.192748E+00,,,,,
2.18178E+01,-1.192555E+00,,,,,
2.253616E+01,-1.191013E+00,,,,,
2.18011E+01,-1.190624E+00,,,,,
2.178439E+01,-1.188869E+00,,,,,
2.255286E+01,-1.188688E+00,,,,,
2.176769E+01,-1.18709E+00,,,,,
2.256957E+01,-1.186557E+00,,,,,
2.175098E+01,-1.185121E+00,,,,,
2.258627E+01,-1.184505E+00,,,,,
2.173428E+01,-1.183304E+00,,,,,
2.260298E+01,-1.182253E+00,,,,,
2.171757E+01,-1.181497E+00,,,,,
2.261968E+01,-1.17987E+00,,,,,
2.170087E+01,-1.179441E+00,,,,,
2.263639E+01,-1.177759E+00,,,,,
2.168416E+01,-1.177552E+00,,,,,
2.265309E+01,-1.175867E+00,,,,,
2.166744E+01,-1.17574E+00,,,,,
2.165074E+01,-1.173981E+00,,,,,
2.26698E+01,-1.173438E+00,,,,,
2.163403E+01,-1.17219E+00,,,,,
2.26865E+01,-1.17126E+00,,,,,
2.161733E+01,-1.170345E+00,,,,,
2.270321E+01,-1.169318E+00,,,,,
2.160062E+01,-1.168369E+00,,,,,
2.271992E+01,-1.166963E+00,,,,,
2.158392E+01,-1.16642E+00,,,,,
2.273662E+01,-1.164847E+00,,,,,
2.156721E+01,-1.164686E+00,,,,,
2.275333E+01,-1.162985E+00,,,,,
2.155051E+01,-1.162822E+00,,,,,
2.15338E+01,-1.161115E+00,,,,,
2.277003E+01,-1.160797E+00,,,,,
2.15171E+01,-1.159239E+00,,,,,
2.278674E+01,-1.158473E+00,,,,,
2.150039E+01,-1.157581E+00,,,,,
2.280344E+01,-1.156412E+00,,,,,
2.148369E+01,-1.155896E+00,,,,,
2.282016E+01,-1.154333E+00,,,,,
2.146698E+01,-1.153994E+00,,,,,
2.283686E+01,-1.152064E+00,,,,,
2.145028E+01,-1.152059E+00,,,,,
2.143357E+01,-1.150167E+00,,,,,
2.285357E+01,-1.150002E+00,,,,,
2.141687E+01,-1.148295E+00,,,,,
2.287027E+01,-1.147843E+00,,,,,
2.140016E+01,-1.146388E+00,,,,,
2.288698E+01,-1.145521E+00,,,,,
2.138346E+01,-1.144732E+00,,,,,
2.290368E+01,-1.14376E+00,,,,,
2.136674E+01,-1.142934E+00,,,,,
2.292039E+01,-1.14165E+00,,,,,
2.135003E+01,-1.141213E+00,,,,,
2.293709E+01,-1.139562E+00,,,,,
2.133333E+01,-1.139457E+00,,,,,
2.131663E+01,-1.137674E+00,,,,,
2.29538E+01,-1.137338E+00,,,,,
2.129992E+01,-1.135846E+00,,,,,
2.29705E+01,-1.135158E+00,,,,,
2.128321E+01,-1.133901E+00,,,,,
2.298721E+01,-1.133153E+00,,,,,
2.126651E+01,-1.132092E+00,,,,,
2.300391E+01,-1.131258E+00,,,,,
2.12498E+01,-1.130344E+00,,,,,
2.302062E+01,-1.129199E+00,,,,,
2.12331E+01,-1.128521E+00,,,,,
2.303733E+01,-1.127088E+00,,,,,
2.121639E+01,-1.126802E+00,,,,,
2.305403E+01,-1.125374E+00,,,,,
2.119969E+01,-1.125088E+00,,,,,
2.307073E+01,-1.123382E+00,,,,,
2.118298E+01,-1.123174E+00,,,,,
2.116628E+01,-1.121375E+00,,,,,
2.308744E+01,-1.121101E+00,,,,,
2.114957E+01,-1.119663E+00,,,,,
2.310416E+01,-1.119222E+00,,,,,
2.113287E+01,-1.117839E+00,,,,,
2.312086E+01,-1.117391E+00,,,,,
2.111616E+01,-1.116195E+00,,,,,
2.109946E+01,-1.114407E+00,,,,,
2.108274E+01,-1.112722E+00,,,,,
2.106604E+01,-1.110821E+00,,,,,
2.104933E+01,-1.109005E+00,,,,,
2.103263E+01,-1.107348E+00,,,,,
2.101592E+01,-1.105614E+00,,,,,
2.099922E+01,-1.103872E+00,,,,,
2.098251E+01,-1.101841E+00,,,,,
2.09658E+01,-1.100133E+00,,,,,
2.09491E+01,-1.098702E+00,,,,,
2.093239E+01,-1.096728E+00,,,,,
2.091569E+01,-1.095163E+00,,,,,
2.089898E+01,-1.093291E+00,,,,,
