t,y
2.5894E+00,6.454974E-03
2.606111E+00,6.474059E-03
2.622811E+00,6.570521E-03
2.639522E+00,6.509564E-03
2.656222E+00,6.49561E-03
2.672933E+00,6.367935E-03
2.689644E+00,6.601236E-03
2.706389E+00,6.403682E-03
2.723056E+00,6.472244E-03
2.739756E+00,6.483987E-03
2.756467E+00,6.491357E-03
2.773167E+00,6.487207E-03
2.789878E+00,6.603869E-03
2.806578E+00,6.507321E-03
2.823289E+00,6.40251E-03
2.839989E+00,6.508049E-03
2.8567E+00,6.487881E-03
2.8734E+00,6.466667E-03
2.890111E+00,6.382429E-03
2.906811E+00,6.351595E-03
2.923522E+00,6.406459E-03
2.940222E+00,6.292596E-03
2.956933E+00,6.288724E-03
2.973633E+00,6.232859E-03
2.990344E+00,6.173171E-03
3.007056E+00,6.024547E-03
3.023756E+00,5.934569E-03
3.040456E+00,5.961209E-03
3.057167E+00,6.093275E-03
3.073878E+00,5.873118E-03
3.090578E+00,5.881242E-03
3.107289E+00,5.648508E-03
3.123989E+00,5.675418E-03
3.1407E+00,5.559871E-03
3.1574E+00,5.308966E-03
3.174111E+00,5.425001E-03
3.190811E+00,5.474132E-03
3.207522E+00,5.250559E-03
3.224222E+00,5.391903E-03
3.240933E+00,5.38715E-03
3.257633E+00,5.363273E-03
3.274344E+00,5.07555E-03
3.291044E+00,4.897692E-03
3.307756E+00,4.916621E-03
3.324456E+00,4.913995E-03
3.341167E+00,4.786313E-03
3.357867E+00,4.961206E-03
3.374578E+00,4.792764E-03
3.391289E+00,4.930864E-03
3.407989E+00,4.599747E-03
3.4247E+00,4.510147E-03
3.4414E+00,4.289921E-03
3.458111E+00,4.379178E-03
3.474811E+00,4.03024E-03
3.491522E+00,3.761264E-03
3.508222E+00,3.900362E-03
3.524933E+00,3.790064E-03
3.541633E+00,3.697841E-03
3.558344E+00,3.49182E-03
3.575044E+00,3.365186E-03
3.591756E+00,3.308818E-03
3.608456E+00,3.201805E-03
3.625167E+00,2.977747E-03
3.641867E+00,2.892118E-03
3.658578E+00,2.480603E-03
3.675278E+00,2.31241E-03
3.691989E+00,2.143192E-03
3.708689E+00,1.881341E-03
3.7254E+00,1.778146E-03
3.742111E+00,1.703715E-03
3.758811E+00,1.415773E-03
3.775522E+00,1.263948E-03
3.792222E+00,8.919177E-04
3.808933E+00,7.0537E-04
3.825633E+00,7.402752E-04
3.842344E+00,3.418967E-04
3.859044E+00,-1.078017E-04
3.875756E+00,1.8412E-04
3.892456E+00,-2.530689E-04
3.909167E+00,-4.229131E-04
3.925867E+00,-7.323057E-04
3.942578E+00,-8.027908E-04
3.959278E+00,-7.545195E-04
3.975989E+00,-1.608547E-03
3.992689E+00,-1.788451E-03
4.0094E+00,-1.908344E-03
4.0261E+00,-1.903308E-03
4.042811E+00,-2.221543E-03
4.059522E+00,-2.660225E-03
4.076222E+00,-2.826146E-03
4.092933E+00,-2.705933E-03
4.109633E+00,-2.939786E-03
4.126344E+00,-3.363116E-03
4.143044E+00,-3.47254E-03
4.159756E+00,-3.866275E-03
4.176456E+00,-4.000521E-03
4.193167E+00,-4.390182E-03
4.209867E+00,-4.376432E-03
4.226578E+00,-4.948673E-03
4.243278E+00,-5.08059E-03
4.259989E+00,-5.141843E-03
4.276689E+00,-5.326794E-03
4.2934E+00,-5.490327E-03
4.3101E+00,-5.888301E-03
4.326811E+00,-6.243237E-03
4.343511E+00,-6.344117E-03
4.360222E+00,-6.762765E-03
4.376922E+00,-6.960917E-03
4.393633E+00,-7.595723E-03
4.410344E+00,-7.583834E-03
4.427044E+00,-7.829573E-03
4.443756E+00,-8.401364E-03
4.460456E+00,-8.689496E-03
4.477167E+00,-9.033552E-03
4.493867E+00,-9.149895E-03
4.510578E+00,-9.395994E-03
4.527278E+00,-9.958424E-03
4.543989E+00,-1.000644E-02
4.560689E+00,-1.052196E-02
4.5774E+00,-1.11634E-02
4.5941E+00,-1.151628E-02
