t,x,y
0E+00,-2.58283E-04,7.490206E-03
4.463244E+00,-3.140428E-04,8.721572E-03
4.486733E+00,-2.791026E-04,8.669885E-03
4.520211E+00,-1.633606E-04,8.62095E-03
4.5537E+00,2.682748E-05,8.540769E-03
4.587178E+00,1.135934E-03,8.529016E-03
4.620656E+00,1.478975E-03,8.429001E-03
4.654144E+00,8.549118E-04,8.195028E-03
4.687622E+00,1.121877E-03,8.12411E-03
4.721111E+00,1.890188E-03,8.046656E-03
4.754589E+00,2.031461E-03,7.981465E-03
4.788067E+00,2.481985E-03,7.956101E-03
4.821556E+00,2.532994E-03,8.035583E-03
4.855033E+00,2.480787E-03,8.037941E-03
4.888522E+00,2.978636E-03,8.310142E-03
4.922E+00,2.838721E-03,8.385593E-03
4.955478E+00,2.831696E-03,8.543976E-03
4.988967E+00,2.704157E-03,8.478131E-03
5.022444E+00,2.035333E-03,8.639826E-03
5.055922E+00,2.409619E-03,8.851834E-03
5.089411E+00,1.901876E-03,8.922524E-03
5.122889E+00,9.579377E-04,9.180863E-03
5.156378E+00,7.008105E-04,9.068555E-03
5.189856E+00,2.798007E-04,9.111307E-03
5.223333E+00,1.293197E-04,9.036462E-03
5.256822E+00,7.699746E-05,8.988613E-03
5.2903E+00,1.579463E-04,8.930233E-03
5.323778E+00,-1.072255E-05,8.597241E-03
5.357267E+00,1.537783E-04,8.409652E-03
5.390744E+00,-5.450322E-05,7.872968E-03
5.424233E+00,2.084215E-05,7.711724E-03
5.457711E+00,4.919344E-04,7.304453E-03
5.491189E+00,-7.905903E-05,6.620989E-03
5.524678E+00,9.359628E-04,6.474158E-03
5.558156E+00,6.460804E-04,6.112928E-03
5.591644E+00,1.71567E-03,5.76651E-03
5.625122E+00,2.218225E-03,5.340046E-03
5.6586E+00,2.28777E-03,4.951836E-03
5.692089E+00,2.165441E-03,4.524576E-03
5.725567E+00,2.6614E-03,4.248372E-03
5.759044E+00,2.839855E-03,3.842564E-03
5.792533E+00,2.892201E-03,3.509367E-03
5.826011E+00,3.241237E-03,3.224594E-03
5.8595E+00,2.782769E-03,2.879298E-03
5.892978E+00,2.691891E-03,2.452301E-03
5.926456E+00,2.364887E-03,1.914002E-03
5.959944E+00,2.572729E-03,1.59729E-03
5.993422E+00,2.141662E-03,1.331813E-03
6.0269E+00,1.911313E-03,7.520688E-04
6.060389E+00,1.666181E-03,3.182177E-04
6.093867E+00,1.303037E-03,-3.035235E-04
6.127356E+00,1.02178E-03,-8.760516E-04
6.160833E+00,1.148813E-03,-1.351382E-03
6.194311E+00,8.903384E-04,-2.227916E-03
6.2278E+00,1.121408E-03,-2.917239E-03
6.261278E+00,7.275278E-04,-3.791785E-03
6.294756E+00,6.120692E-04,-4.718072E-03
6.328244E+00,1.806739E-03,-5.54649E-03
6.361722E+00,1.748401E-03,-6.464054E-03
6.395211E+00,1.698819E-03,-7.379624E-03
6.428689E+00,1.946364E-03,-8.325492E-03
6.462167E+00,2.198544E-03,-9.497984E-03
6.495656E+00,3.10423E-03,-1.020537E-02
6.529133E+00,3.346752E-03,-1.104508E-02
6.562622E+00,3.396163E-03,-1.200875E-02
6.5961E+00,3.621132E-03,-1.29653E-02
6.629578E+00,4.448229E-03,-1.385697E-02
6.663067E+00,4.34158E-03,-1.472741E-02
6.696544E+00,4.238142E-03,-1.556913E-02
6.730033E+00,4.205207E-03,-1.655638E-02
6.763511E+00,4.577549E-03,-1.745505E-02
6.796989E+00,3.989362E-03,-1.826606E-02
6.830478E+00,3.808032E-03,-1.920419E-02
6.863956E+00,4.169417E-03,-1.998373E-02
6.897433E+00,3.765187E-03,-2.091565E-02
6.930922E+00,3.752267E-03,-2.193054E-02
6.9644E+00,3.325416E-03,-2.292224E-02
6.997889E+00,3.091516E-03,-2.413671E-02
7.031367E+00,3.118462E-03,-2.507962E-02
7.064844E+00,2.416581E-03,-2.610638E-02
7.098333E+00,2.528845E-03,-2.737548E-02
7.131811E+00,2.191303E-03,-2.845207E-02
7.165289E+00,2.2178E-03,-2.964585E-02
