t,y,vy,ay
0.000000E0,5.363776E-3,,
1.668889E-2,5.343940E-3,2.235872E-4,
3.337778E-2,5.371239E-3,-1.824486E-3,-3.938730E-2
5.005556E-2,5.283063E-3,-2.657077E-3,5.329512E-2
6.674444E-2,5.282581E-3,1.045795E-3,1.403776E-1
8.343333E-2,5.317969E-3,1.979565E-3,-6.523977E-2
1.001222E-1,5.348655E-3,-9.299994E-4,-7.407427E-2
1.168111E-1,5.286928E-3,-1.568167E-3,1.669937E-1
1.335000E-1,5.296313E-3,5.012413E-3,-4.633953E-2
1.501889E-1,5.454231E-3,-6.965167E-4,-1.603729E-1
1.668778E-1,5.273065E-3,-4.750852E-3,-1.234287E-2
1.835667E-1,5.295658E-3,1.995322E-3,1.729282E-1
2.002556E-1,5.339664E-3,6.203800E-4,1.809853E-2
2.169444E-1,5.316365E-3,1.515660E-3,-1.340475E-1
2.336333E-1,5.390254E-3,-1.838672E-3,8.641573E-2
2.503222E-1,5.254994E-3,9.058958E-4,-5.719152E-2
2.670000E-1,5.420480E-3,9.970842E-4,2.629136E-1
2.836889E-1,5.288263E-3,4.121977E-3,-1.137167E-1
3.003778E-1,5.558063E-3,3.698911E-3,-1.514433E-1
3.170667E-1,5.411725E-3,-6.534754E-3,-2.898697E-1
3.337556E-1,5.339947E-3,-3.649983E-3,3.275820E-1
3.504444E-1,5.289897E-3,3.357933E-3,2.869432E-1
3.671333E-1,5.452027E-3,7.908838E-3,7.009196E-2
3.838222E-1,5.553876E-3,4.501975E-3,-3.633450E-1
4.005111E-1,5.602293E-3,-3.503253E-3,-3.633408E-1
4.172000E-1,5.436945E-3,-9.311809E-3,1.604802E-2
4.338889E-1,5.291486E-3,-2.736625E-3,4.032211E-1
4.505778E-1,5.345603E-3,5.454142E-3,2.662676E-1
4.672667E-1,5.473533E-3,6.145596E-3,-2.455471E-1
4.839556E-1,5.550729E-3,-2.477197E-3,-1.649219E-1
5.006444E-1,5.390850E-3,-2.221572E-3,1.250510E-2
5.173222E-1,5.476603E-3,1.568001E-3,7.372032E-2
5.340111E-1,5.443169E-3,-1.853930E-3,-1.472403E-1
5.507000E-1,5.414723E-3,-2.656604E-3,7.964808E-2
5.673889E-1,5.354497E-3,-3.820016E-6,6.502708E-2
5.840778E-1,5.414595E-3,1.044997E-3,2.154102E-1
6.007667E-1,5.389377E-3,5.009314E-3,7.422456E-2
